Index	age	fit_prop	fit_se	aoa	language	form	measure	lexical_category	uni_lemma	words	prop	word_bytes	CleanedWord	CleanedSingle
141	21	0.0271619426263749	0.082369900109521	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0163934426229508	74 68 65 69 72	their	their
142	22	0.0365611446862427	0.0716336929575469	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0308370044052863	74 68 65 69 72	their	their
143	23	0.0490488883697955	0.061522808945	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.051063829787234	74 68 65 69 72	their	their
144	24	0.065511887354698	0.0524004828727089	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0558375634517767	74 68 65 69 72	their	their
145	25	0.0869950996904497	0.0448737085738006	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.0911492734478203	74 68 65 69 72	their	their
146	26	0.114658873814268	0.0398569111711248	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.110344827586207	74 68 65 69 72	their	their
147	27	0.14967736365973	0.0383481622258839	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.171745152354571	74 68 65 69 72	their	their
148	28	0.193058808418166	0.0407390998325406	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.244234800838574	74 68 65 69 72	their	their
149	29	0.245385217368525	0.0464311478997875	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.246153846153846	74 68 65 69 72	their	their
150	30	0.306507060394388	0.0543977321814192	32.6606687359796	English (American)	WS	produces	function_words	3PL.POSS	their	0.253503184713376	74 68 65 69 72	their	their
151	16	0.0549696908903759	0.0631841841861282	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.0559139784946237	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
152	17	0.0722255729937296	0.057012333555251	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.0502183406113537	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
153	18	0.0943575017014758	0.0510032416163297	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.0858034321372855	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
154	19	0.12237672163599	0.0452218372596925	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.143859649122807	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
155	20	0.157271309000515	0.0397675484122469	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.128491620111732	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
156	21	0.199850007249678	0.0347945495747334	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.177595628415301	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
157	22	0.250529273164376	0.0305388749842992	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.273127753303965	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
158	23	0.309095590385425	0.0273376027170383	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.334042553191489	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
159	24	0.374511530895676	0.0255895601981056	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.354314720812183	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
160	25	0.444857776916065	0.0255942589609509	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.486129458388375	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
161	26	0.517485587147555	0.0273507956776005	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.494252873563218	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
162	27	0.589382069283565	0.0305585567140428	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.56786703601108	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
163	28	0.657652881353718	0.0348187332409263	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.737945492662474	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
164	29	0.719965938534488	0.0397947535784567	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.687179487179487	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
165	30	0.774820451866333	0.0452510781313251	25.7599137384121	English (American)	WS	produces	function_words	3SG	him, it, she	0.707006369426752	68 69 6d 2c 20 69 74 2c 20 73 68 65	him, it, she	him
