word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
he,function_words,27.5120205647718,2,56436.0,9.068874477284004,0.007514527140430555,-4.890917179855274,3.93
head,nouns,21.7765548234193,4,3884.0,8.089083419155509,0.0005171596749137479,-7.567158882177106,4.75
hear,predicates,27.1703533130282,4,4090.0,7.268459657701712,0.0005445888440775564,-7.5154794625514745,3.66
heavy,predicates,25.3926233303117,5,759.0,6.525691699604743,0.00010106184172490594,-9.199777934192692,3.37
help,predicates,22.9492939476584,4,5709.0,7.00350324049746,0.0007601608094960316,-7.181980555624063,2.56
here,function_words,25.5123031483886,4,44395.0,5.929654240342381,0.005911252257413965,-5.130897582121895,3.13
hide,predicates,25.6711709457755,4,631.0,7.481774960380348,8.401847447749097e-05,-9.384473849047108,3.21
high,nouns,26.5862714475589,4,1191.0,8.502099076406381,0.00015858320618493144,-8.749231142233022,3.46
high,predicates,26.9423970877292,4,1191.0,8.502099076406381,0.00015858320618493144,-8.749231142233022,3.46
hit,predicates,25.1403951122743,3,1687.0,8.079430942501482,0.00022462625426866446,-8.401072629042353,4.11
hold,predicates,25.7563320599327,4,4154.0,6.695474241694752,0.0005531105277012639,-7.499952707152264,3.68
home,other,22.1430055051385,4,6805.0,10.308890521675238,0.0009060946415520223,-7.006366796502755,4.11
horse,nouns,21.3307609111179,5,2019.0,7.105002476473501,0.00026883248806664704,-8.221422093275484,5.0
hot,predicates,18.5380394676475,3,2877.0,5.907542579075426,0.0003830763091469755,-7.867276348036774,4.31
house,other,23.4014900508947,5,6857.0,9.029313110689806,0.0009130185094962846,-6.998754404303957,5.0
hungry,predicates,24.847077227755,6,3124.0,8.485915492957746,0.00041596468188222154,-7.784910200628745,2.9
hurry,predicates,27.9415724879464,5,631.0,5.595879556259905,8.401847447749097e-05,-9.384473849047108,2.63
hurt,predicates,25.259093218659,4,2516.0,6.634340222575517,0.0003350086874570004,-8.00135409376799,3.61
ice,nouns,23.3113305354896,3,3311.0,7.80821504077318,0.00044086397622024185,-7.726774174041076,4.89
inside,function_words,24.5588106439671,6,2298.0,8.689730200174065,0.00030598170261374684,-8.09198525317962,3.67
is,function_words,28.1768060568271,2,89271.0,6.391952593787456,0.011886550293312356,-4.432347745506108,1.59
jump,predicates,23.330729224258,4,1669.0,6.6962252846015575,0.0002222295307494967,-8.411799787926487,4.52
kick,predicates,25.0762879856673,4,502.0,5.798804780876494,6.684195592345558e-05,-9.613179591896593,4.33
kiss,predicates,21.7525256874106,4,1628.0,5.910933660933661,0.0002167703271780591,-8.436672165025836,4.48
kitchen,nouns,24.4987862360813,7,1320.0,10.671212121212122,0.00017575972473896686,-8.646392696007904,4.97
knife,nouns,25.8336781336852,5,434.0,7.170506912442396,5.778766707326637e-05,-9.758735177487917,4.9
knock,predicates,26.5290150955569,5,1214.0,6.798187808896211,0.00016164568623720134,-8.730103739968879,4.24
lady,other,28.9204980054118,4,1509.0,7.476474486414844,0.00020092532169022802,-8.512577252820472,4.33
later,other,27.9978714745976,5,1761.0,7.585462805224305,0.00023447945095857623,-8.358142603092116,1.8
leg,nouns,23.5120516174733,3,818.0,7.277506112469438,0.00010891776881551127,-9.124917374985575,4.83
light,nouns,21.6169701073932,5,1974.0,7.709219858156028,0.0002628406792687277,-8.243962491594894,4.21
like,predicates,26.1014661833247,4,54055.0,9.070927758764222,0.007197493879367313,-4.93402238586145,1.89
lips,nouns,25.9587185339566,4,147.0,7.816326530612245,1.9573242073203128e-05,-10.841347124809586,3.8182539682539685
listen,predicates,27.9684820141229,6,1675.0,6.9038805970149255,0.0002230284385892193,-8.408211267329154,3.47
little,predicates,25.879267660637,6,25123.0,9.003423158062333,0.0033451602762250487,-5.7002406713854015,3.67
living,nouns,27.8978939735058,6,634.0,11.105678233438486,8.441792839735226e-05,-9.379730757151096,3.04
look,predicates,24.3237952816562,4,34236.0,5.703382404486505,0.004558568133457022,-5.390746710586821,2.96
loud,predicates,26.6051037806878,4,664.0,8.064759036144578,8.841246759596514e-05,-9.333497562111887,3.73
love,predicates,23.4743963075005,4,2796.0,5.964592274678112,0.0003722910533107207,-7.895834608234621,2.07
lunch,other,24.8589309699984,5,1651.0,7.968503937007874,0.00021983280723032899,-8.422643267668194,4.31
mad,predicates,28.3074518067301,3,747.0,7.342704149933065,9.946402604546079e-05,-9.215714526455505,2.76
make,predicates,27.0542135752471,4,13227.0,8.404097678989945,0.0017611923326684201,-6.341764237562274,2.67
man,other,26.600745151139,3,3249.0,7.045244690674053,0.0004326085952097752,-7.745677175919221,4.79
meat,nouns,27.0976871674901,4,1113.0,7.192273135669362,0.00014819740426853795,-8.816965360312777,4.9
medicine,nouns,25.2842648760868,8,415.0,6.8,5.5257792247478215e-05,-9.803501191357624,4.79
milk,nouns,18.2899285571973,4,4096.0,6.9921875,0.0005453877519172789,-7.514013544868978,4.92
mine,function_words,19.9895895477944,4,2110.0,5.562559241706161,0.0002809492569691061,-8.177336485118209,3.56
money,nouns,24.9623761967973,5,1882.0,8.013815090329437,0.00025059075905964817,-8.291689391442997,4.54
moon,nouns,21.4296232505221,4,1629.0,9.553100061387354,0.00021690347848467954,-8.436058102986276,4.9
more,function_words,20.3255990336941,4,19515.0,7.231104278759928,0.0025984477486976805,-5.952841031973606,2.37
morning,other,26.9392105720342,7,2327.0,9.447357112161582,0.00030984309050573926,-8.07944454828603,3.44
mouth,nouns,20.6430273111716,5,4127.0,7.962442452144415,0.0005495154424225122,-7.50647368183574,4.74
movie,other,27.7822633989268,5,1076.0,9.143122676579926,0.00014327080592358208,-8.850773970866593,4.59
need,function_words,28.1609134486326,4,5795.0,7.30595340811044,0.0007716118218653885,-7.1670289558144695,1.69
new,predicates,28.5116093622219,3,3157.0,8.75356350966107,0.0004203586750006957,-7.77440222303033,2.81
nice,predicates,26.0203073295454,4,7717.0,6.175456783724245,0.0010275286331898538,-6.880598745130719,2.18
night,other,21.53945213602055,5,3212.0,8.790473225404732,0.00042768199686481933,-7.757130636521669,4.52
nose,nouns,17.4317448949983,4,2844.0,5.984177215189874,0.0003786823160285013,-7.87881292066519,4.89
not,function_words,28.3687853629047,3,31895.0,7.3632857814704495,0.004246860924658597,-5.461575174912266,2.08
